Data;À vista R$
23/01/2017;1236,94
24/01/2017;1231,45
25/01/2017;1217,06
26/01/2017;1235,13
27/01/2017;1231,95
30/01/2017;1239,87
31/01/2017;1228,03
01/02/2017;1228,23
02/02/2017;1199,01
03/02/2017;1205,26
06/02/2017;1205,26
07/02/2017;1206,79
08/02/2017;1206,79
09/02/2017;1205,26
10/02/2017;1214,01
13/02/2017;1214,01
14/02/2017;1201,27
15/02/2017;1201,27
16/02/2017;1201,70
17/02/2017;1195,14
20/02/2017;1172,98
21/02/2017;1181,41
22/02/2017;1181,41
23/02/2017;1192,34
24/02/2017;1184,71
01/03/2017;1164,16
02/03/2017;1164,16
03/03/2017;1145,53
06/03/2017;1185,90
07/03/2017;1161,15
08/03/2017;1181,70
09/03/2017;1165,03
10/03/2017;1147,88
13/03/2017;1134,02
14/03/2017;1168,20
15/03/2017;1161,00
16/03/2017;1166,06
17/03/2017;1162,58
20/03/2017;1162,58
21/03/2017;1122,97
22/03/2017;1115,86
23/03/2017;1110,42
24/03/2017;1113,09
27/03/2017;1112,11
28/03/2017;1109,51
29/03/2017;1111,30
30/03/2017;1119,17
31/03/2017;1133,98
03/04/2017;1145,70
04/04/2017;1147,54
05/04/2017;1146,03
06/04/2017;1142,52
07/04/2017;1160,68
10/04/2017;1160,68
11/04/2017;1134,57
12/04/2017;1139,04
13/04/2017;1139,04
17/04/2017;1130,55
18/04/2017;1155,36
19/04/2017;1155,36
20/04/2017;1178,30
24/04/2017;1197,88
25/04/2017;1131,32
26/04/2017;1092,47
27/04/2017;1101,81
28/04/2017;1101,81
02/05/2017;1091,28
03/05/2017;1118,29
04/05/2017;1117,53
05/05/2017;1117,53
08/05/2017;1117,53
09/05/2017;1110,28
10/05/2017;1110,28
11/05/2017;1091,44
12/05/2017;1091,44
15/05/2017;1100,14
16/05/2017;1100,03
17/05/2017;1097,09
18/05/2017;1099,84
19/05/2017;1099,84
22/05/2017;1091,75
23/05/2017;1080,22
24/05/2017;1083,14
25/05/2017;1082,38
26/05/2017;1076,65
29/05/2017;1082,16
30/05/2017;1081,93
31/05/2017;1080,25
01/06/2017;1080,38
02/06/2017;1085,21
05/06/2017;1077,49
06/06/2017;1092,22
07/06/2017;1092,39
08/06/2017;1102,02
09/06/2017;1114,97
12/06/2017;1113,89
13/06/2017;1104,21
14/06/2017;1097,01
16/06/2017;1096,59
19/06/2017;1096,59
20/06/2017;1095,10
21/06/2017;1094,31
22/06/2017;1091,38
23/06/2017;1072,73
26/06/2017;1085,88
27/06/2017;1083,69
28/06/2017;1087,63
29/06/2017;1093,07
30/06/2017;1100,69
03/07/2017;1100,78
04/07/2017;1128,25
05/07/2017;1128,25
06/07/2017;1112,87
07/07/2017;1125,90
10/07/2017;1125,90
11/07/2017;1127,00
12/07/2017;1138,00
13/07/2017;1138,00
14/07/2017;1130,52
17/07/2017;1130,52
18/07/2017;1123,55
19/07/2017;1115,65
20/07/2017;1115,65
21/07/2017;1122,16
24/07/2017;1137,75
25/07/2017;1118,91
26/07/2017;1099,95
27/07/2017;1102,07
28/07/2017;1103,25
31/07/2017;1098,16
01/08/2017;1090,63
02/08/2017;1090,63
03/08/2017;1090,63
04/08/2017;1086,65
07/08/2017;1066,31
08/08/2017;1077,05
09/08/2017;1077,05
10/08/2017;1079,56
11/08/2017;1084,15
14/08/2017;1080,85
15/08/2017;1088,58
16/08/2017;1087,20
17/08/2017;1093,31
18/08/2017;1090,72
21/08/2017;1086,90
22/08/2017;1087,29
23/08/2017;1087,29
24/08/2017;1087,29
25/08/2017;1090,88
28/08/2017;1093,18
29/08/2017;1117,09
30/08/2017;1117,09
31/08/2017;1122,59
01/09/2017;1124,45
04/09/2017;1132,46
05/09/2017;1145,41
06/09/2017;1145,41
08/09/2017;1149,12
11/09/2017;1164,26
12/09/2017;1177,79
13/09/2017;1177,79
14/09/2017;1184,66
15/09/2017;1181,52
18/09/2017;1181,52
19/09/2017;1190,12
20/09/2017;1190,12
21/09/2017;1180,89
22/09/2017;1187,47
25/09/2017;1187,47
26/09/2017;1179,92
27/09/2017;1180,77
28/09/2017;1180,77
29/09/2017;1184,20
02/10/2017;1184,14
03/10/2017;1173,75
04/10/2017;1171,36
05/10/2017;1171,36
06/10/2017;1175,02
09/10/2017;1173,07
10/10/2017;1181,46
11/10/2017;1181,46
13/10/2017;1162,92
16/10/2017;1165,76
17/10/2017;1188,84
18/10/2017;1188,84
19/10/2017;1186,07
20/10/2017;1186,07
23/10/2017;1185,94
24/10/2017;1191,15
25/10/2017;1191,15
26/10/2017;1192,50
27/10/2017;1192,68
30/10/2017;1195,98
31/10/2017;1194,55
01/11/2017;1192,34
03/11/2017;1193,90
06/11/2017;1193,90
07/11/2017;1198,46
08/11/2017;1196,36
09/11/2017;1191,75
10/11/2017;1193,41
13/11/2017;1188,05
14/11/2017;1180,98
16/11/2017;1192,44
17/11/2017;1200,98
20/11/2017;1201,46
21/11/2017;1183,65
22/11/2017;1185,71
23/11/2017;1198,25
24/11/2017;1196,09
27/11/2017;1188,50
28/11/2017;1191,61
29/11/2017;1194,93
30/11/2017;1186,69
01/12/2017;1206,32
04/12/2017;1206,32
05/12/2017;1174,08
06/12/2017;1172,09
07/12/2017;1159,70
08/12/2017;1151,16
11/12/2017;1148,81
12/12/2017;1174,37
13/12/2017;1171,11
14/12/2017;1173,19
15/12/2017;1172,76
18/12/2017;1165,70
19/12/2017;1184,58
20/12/2017;1196,79
21/12/2017;1196,11
22/12/2017;1195,56
26/12/2017;1174,04
27/12/2017;1165,08
28/12/2017;1171,41
02/01/2018;1148,75
03/01/2018;1159,27
04/01/2018;1151,65
05/01/2018;1151,85
08/01/2018;1151,85
09/01/2018;1152,60
10/01/2018;1151,79
11/01/2018;1146,73
12/01/2018;1145,78
15/01/2018;1145,78
16/01/2018;1134,47
17/01/2018;1106,80
18/01/2018;1111,66
19/01/2018;1135,77
22/01/2018;1143,81
23/01/2018;1156,11
24/01/2018;1167,59
25/01/2018;1172,53
26/01/2018;1158,64
29/01/2018;1143,09
30/01/2018;1144,80
31/01/2018;1144,33
01/02/2018;1146,15
02/02/2018;1142,40
05/02/2018;1138,52
06/02/2018;1166,66
07/02/2018;1188,24
08/02/2018;1185,32
09/02/2018;1191,60
14/02/2018;1162,24
15/02/2018;1166,55
16/02/2018;1176,06
19/02/2018;1176,06
20/02/2018;1186,99
21/02/2018;1194,54
22/02/2018;1202,55
23/02/2018;1218,79
26/02/2018;1235,15
27/02/2018;1213,83
28/02/2018;1205,24
01/03/2018;1207,10
02/03/2018;1206,51
05/03/2018;1200,54
06/03/2018;1191,46
07/03/2018;1189,29
08/03/2018;1187,47
09/03/2018;1192,47
12/03/2018;1193,06
13/03/2018;1185,49
14/03/2018;1179,18
15/03/2018;1168,05
16/03/2018;1160,60
19/03/2018;1171,16
20/03/2018;1192,64
21/03/2018;1191,58
22/03/2018;1190,81
23/03/2018;1202,12
26/03/2018;1202,09
27/03/2018;1206,60
28/03/2018;1197,12
29/03/2018;1202,25
02/04/2018;1186,38
03/04/2018;1188,64
04/04/2018;1188,64
05/04/2018;1174,55
06/04/2018;1174,55
09/04/2018;1163,08
10/04/2018;1205,04
11/04/2018;1203,10
12/04/2018;1201,80
13/04/2018;1202,21
16/04/2018;1208,98
17/04/2018;1199,15
18/04/2018;1208,92
19/04/2018;1208,91
20/04/2018;1209,09
23/04/2018;1192,62
24/04/2018;1193,01
25/04/2018;1186,89
26/04/2018;1174,03
27/04/2018;1178,15
30/04/2018;1177,81
02/05/2018;1183,07
03/05/2018;1169,95
04/05/2018;1168,62
07/05/2018;1181,69
08/05/2018;1166,99
